,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
8,2014104052,3,6,2020/10/12,7359,35,3,11.0,16,3,6.5,5.0,0,0,5386,57.0,2,1600,3,94.8,37.5,511,-3,0,0,0,0,1,0,0,0.0
9,2014104052,3,6,2020/02/23,7122,5,6,11.0,16,5,3.0,2.0,0,0,666,57.0,2,1600,4,98.3,39.0,514,-4,0,0,0,0,1,0,0,0.0
10,2014104052,3,6,2020/01/26,7094,8,6,11.0,16,13,2.3,1.0,0,1,666,58.0,2,1800,2,110.4,36.1,518,2,0,0,0,0,0,1,0,1416.4
11,2014104052,3,5,2019/12/01,7038,7,6,11.0,16,4,4.7,3.0,0,1,666,57.0,2,1800,4,108.7,35.9,516,-4,0,0,0,0,1,0,0,2548.6
12,2014104052,3,5,2019/11/03,7009,8,5,11.0,16,16,2.6,1.0,0,0,1088,59.0,2,1800,4,112.8,40.9,520,4,0,0,0,0,0,0,1,0.0
2,2016104458,3,4,2020/11/03,7381,44,5,10.0,15,5,1.3,1.0,1,1,1088,57.0,2,2000,3,122.5,36.8,542,2,1,0,0,0,1,0,0,8000.0
3,2016104458,3,4,2020/06/24,7247,44,5,11.0,14,8,3.1,2.0,1,1,1088,57.0,2,2000,2,125.3,36.2,540,0,1,0,0,0,1,0,0,6000.0
4,2016104458,3,3,2019/12/01,7038,7,6,11.0,16,5,4.4,2.0,1,1,1088,55.0,2,1800,4,108.5,35.4,550,11,0,0,0,0,1,0,0,10340.2
5,2016104458,3,3,2019/09/23,6967,43,6,11.0,8,11,1.1,1.0,1,1,1088,55.0,2,1800,3,112.1,36.9,539,1,0,0,0,0,0,1,0,3200.0
6,2016104458,3,3,2019/07/10,6892,44,5,11.0,14,12,1.2,1.0,1,1,1088,56.0,2,2000,3,126.1,37.4,538,-6,1,1,0,0,0,0,0,4500.0
1,2014110031,3,6,2020/11/14,7392,5,6,11.0,16,2,4.8,2.0,0,0,1170,59.0,2,1600,4,95.9,36.3,490,-1,0,0,0,0,0,0,1,0.0
2,2014110031,3,6,2020/10/12,7359,35,3,11.0,16,5,4.7,2.0,0,1,1170,57.0,2,1600,3,92.8,35.5,491,3,0,0,0,0,1,0,0,1400.0
3,2014110031,3,6,2020/05/05,7197,43,5,11.0,7,5,2.2,1.0,0,0,5339,57.0,2,1600,4,100.5,37.5,488,-6,0,0,0,0,1,0,0,0.0
4,2014110031,3,6,2020/03/29,7159,7,6,11.0,18,14,9.8,5.0,0,0,5212,57.0,1,1200,2,69.9,33.7,494,0,0,0,0,0,1,0,0,0.0
5,2014110031,3,6,2020/02/23,7122,5,6,11.0,16,12,2.8,1.0,1,1,5339,57.0,2,1600,4,95.2,35.4,494,0,0,0,0,0,1,0,0,10340.2
10,2017110151,3,3,2020/10/03,7350,7,5,11.0,16,15,1.7,1.0,1,1,5339,54.0,2,1900,4,117.8,36.9,510,2,0,0,0,0,0,0,1,3657.4
11,2017110151,3,3,2020/07/08,7262,44,5,11.0,13,2,1.1,1.0,0,0,5585,56.0,2,2000,2,128.4,41.8,508,-4,1,1,0,0,0,0,0,0.0
12,2017110151,3,3,2020/06/21,7244,5,5,11.0,16,16,2.0,1.0,1,1,5585,56.0,2,1600,3,94.9,36.4,512,8,0,0,0,1,0,0,0,3556.7
13,2017110151,3,3,2020/02/23,7122,5,6,9.0,14,3,2.1,1.0,1,1,5212,56.0,2,1600,4,97.7,35.2,504,-2,0,0,0,0,0,0,0,1930.8
14,2017110151,3,2,2019/12/14,7051,6,6,6.0,14,1,2.0,1.0,1,1,5366,55.0,2,1800,4,114.7,37.3,506,0,0,0,0,0,0,0,0,700.0
12,2013105399,3,7,2020/11/14,7392,5,6,11.0,16,7,18.0,8.0,0,1,1122,56.0,2,1600,4,95.3,36.1,494,6,0,0,0,0,0,0,1,958.3
