,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
16,2010106548,3,5,2015/10/07,5494,43,6,11.0,12.0,3,1.6,1.0,0,1,666,58.0,2,1800,4,112.2,40.1,524,-12,0,0,0,0,0,1,1,640.0
17,2010106548,3,5,2015/02/22,5261,5,5,11.0,16.0,4,2.1,1.0,1,1,666,57.0,2,1600,4,96.3,36.2,536,-2,0,0,0,0,1,0,0,9744.4
18,2010106548,3,5,2015/01/25,5233,7,6,11.0,14.0,6,2.5,1.0,1,1,666,58.0,2,1800,4,110.9,37.5,538,11,0,0,0,0,0,1,1,5400.8
19,2010106548,3,4,2014/12/29,5206,44,5,10.0,16.0,7,4.1,2.0,0,1,1075,57.0,2,2000,2,123.8,37.8,527,-9,1,0,0,0,1,0,0,2450.0
8,2008103069,3,7,2015/11/14,5532,5,3,11.0,14.0,7,18.2,4.0,0,0,5528,58.0,2,1600,3,95.6,37.0,528,2,0,0,0,0,0,0,0,370.0
9,2008103069,3,7,2015/08/16,5441,1,5,11.0,13.0,5,8.5,5.0,0,1,5339,58.0,2,1700,3,103.0,37.0,526,0,0,0,0,0,0,0,0,1413.2
10,2008103069,3,7,2015/07/12,5406,7,6,11.0,16.0,16,17.1,6.0,0,0,5339,58.0,2,1400,4,83.1,35.8,526,0,0,0,0,0,0,0,0,350.0
11,2008103069,3,7,2015/04/08,5309,44,5,11.0,14.0,8,9.2,5.0,0,0,1043,58.0,2,1200,1,71.4,36.7,526,-10,1,0,0,0,0,0,0,270.0
12,2008103069,3,7,2015/02/22,5261,5,5,11.0,16.0,7,46.8,11.0,0,0,1043,57.0,2,1600,4,96.6,36.3,536,-4,0,0,0,0,1,0,0,1400.0
9,2009102179,3,6,2015/10/03,5490,9,6,11.0,12.0,3,4.0,2.0,0,1,5212,58.0,2,2000,3,125.1,36.7,526,2,0,0,0,0,0,0,0,886.6
10,2009102179,3,6,2015/05/23,5355,8,5,11.0,16.0,3,4.4,2.0,0,0,5212,56.0,2,1900,4,115.5,36.3,524,-4,0,0,0,0,0,0,0,530.0
11,2009102179,3,6,2015/04/18,5319,9,6,11.0,16.0,4,5.3,2.0,0,1,5212,57.0,2,1800,4,109.7,36.9,528,-4,0,0,0,0,0,0,0,888.2
12,2009102179,3,6,2015/01/25,5233,7,6,11.0,14.0,8,2.8,2.0,0,0,894,56.0,2,1800,4,112.6,39.0,532,4,0,0,0,0,0,1,1,0.0
13,2009102179,3,5,2014/12/07,5184,7,6,11.0,16.0,4,20.7,8.0,0,1,894,57.0,2,1800,4,111.1,36.3,528,6,0,0,0,0,1,0,0,3897.2
4,2007103864,3,8,2015/11/03,5521,44,6,10.0,16.0,12,295.7,8.0,0,0,1092,57.0,2,2000,1,127.5,39.3,500,20,1,0,0,0,1,0,0,0.0
